id,es,en
Right,Derecha,Right
Left,Izquierda,Left
Up,Arriba,Up
Down,Abajo,Down
Jump,Saltar,Jump
Shoot,Disparar,Shoot
NEW_GAME,Nuevo juego,New game
CONTINUE,Continuar,Continue
RESUME,Reanudar,Resume
RESTART,Reiniciar,Restart
CREDITS,Créditos,Credits
OPTIONS,Opciones,Options
MAIN_MENU,Menú principal,Main Menu
BACK,Atrás,Back
EXIT,Salir,Exit
PAUSE,Pausa,Pause
LOADING,Cargando,Loading
RESOLUTION,Resolución,Resolution
FULLSCREEN,Pantalla completa,Fullscreen window
BORDERLESS,Pantalla sin bordes,Borderless window
SCALE,Escalado,Scale
VOLUME,Volumen,Volume
MASTER,General,Master
MUSIC,Música,Music
SFX,Efectos de Sonido,Sounds
CONTROLS,Controles,Controls
ACTIONS,Acciones,Actions
KEYBOARD,Teclado,Keyboard
GAMEPAD,Gamepad,Gamepad
DEFAULT,Defecto,Default
USE_NEW_CONTROLS,Usar nuevos controles!,Use new control!
CANCEL,Cancelar,Cancel
LANGUAGES,Idiomas,Languages
HTML_FOCUS,Haz clic para empezar (Click to start),Click to start (Haz clic para empezar)
CLOSE,Cerrar,Close
TUTORIAL_0,Ház click en los palitos          de descanso para mover a Quemamais:,Click on the rest spots and Quemamais will fly there
TUTORIAL_1,Quemamais puede interactuar con objetos a su alcance haciendo clíc:,Quemamais can interact with objects nearby clicking on them
DLG_1_2_RICO,Oiga Lupe. ¿Quiere que se la chupe?,Hey Lupe. Wanna a candy?
DLG_1_3_LUPE,Pues sí pero pilas. Donde La señora nos vea...,"Ye...yes. But it doesn't taste like lemon, does it?"
DLG_1_4_ANA_MARÍA,¡No puede ser! Lupe le pega con la zurda...,What!? Lupe doesn't like lemon?
DLG_1_5_ANA_MARÍA,Tanto ir al gimnasio y hacer dieta pa' ni mierda,What have he done with those that I give him!
DLG_1_6_RICO,Qué se meta un palo la vieja esa...,No worries man. I know you don't like lemon
DLG_1_7_LUPE,Ahora sí se me puso como pa' partir coco,Mmmmm.... I love asparagus candy
DLG_1_13_PLAYER_OPT_0,Te la voy a meter hasta faca,You will love this candy
DLG_1_13_PLAYER_OPT_1,"Rico, ¿estás por aquí?",Rico! Rico! Come here
DLG_1_13_PLAYER_OPT_2,¡Les gusta por Detroit!,Lupe doesn't like lemon!
DLG_1_14_ANA_MARÍA,¡Ugh! Qué asco...,I can't see this!
DLG_1_15_LUPE,"La puta que nos parió, viene Ana María","Wait, Ana María is calling me..."
DLG_1_16_RICO,¡Pajarraco hijueputa!,Shut up Quemamais!
DLG_1_17_ANA_MARÍA,No quiero ver cómo se machucan la popó,I better go
---- EPISODIO 1 ----,---- ESCENA 1 ----,
EPISODE_1_INTRO,Una mañana de Agosto en la Hacienda Santa Catarina,Santa Catarina Hacienda. August. Morning. Hot.
DLG_1_7_ANA_MARÍA,¡Necesito un abrecartas!,I need a letter opener!
DLG_1_5_ANA_MARÍA,Mamá Is debe tener uno por aquí,Mom should have one somewhere here
---- EPISODIO 1 ----,---- ESCENA 2 ----,
DLG_2_2_ANA_MARÍA,¡Quemamais! ponte a buscar un abrecartas,Help me find a letter opener Quemamais
DLG_2_3_ANA_MARÍA,Si me ayudas luego te daré una galletita,Pleeeeeease
---- EPISODIO 1 ----,---- ESCENA 3 ----,
DLG_4_2_ANA_MARÍA,"El escritorio, claro. ¡Gracias Quemamais!","The desk! of course, thanks Quemamais"
DLG_4_4_ANA_MARÍA,Aquí segurito que encuentro uno,There should be one here for sure
DLG_4_5_ANA_MARÍA,A ver...,Lets see...
DLG_4_7_ANA_MARÍA,...mmm...mmm...mmm,[ searching in spanish ]
DLG_4_8_ANA_MARÍA,¿Qué es esto? ¿una carta para Agustina?,What's this? A letter for Agustina?
DLG_4_9_ANA_MARÍA,¿Qué hace en el escritorio de mi mamá?,What is this doing here?
DLG_4_10_ANA_MARÍA,Lo mejor será leerla en voz alta,[ starts reading the letter ]
AGUSTINA_LETTER,"Querida Agustina

No puedo esperar el momento en que tú y yo podamos por fin amarnos, con este amor tan bello y puro, a solas lejos de este pueblo. Los días a tu lado son como un suspiro que me acaricia los labios, tan hermosos como el amanecer en tus brazos en nuestro nido de amor, en aquel lugar donde nació eso que llevas dentro. Me consuelo por las noches, desnudo bajo las cobijas, con el recuerdo de tus caricias. Sólo quiero que un día podamos estar juntos y crecer como una familia, hasta el fin de mis días.

Siempre tuyo,
Antonio de la Cruz","Dear Agustina

I can't wait to be by your side, my love... far from this town, somewhere we can finally be happy together. I wish I was kissing your lips, feeling this pure love, as beautiful as the mornings by your side, in our bed, where our love started. I can't stop thinking about you at nights when I'm alone and naked in my bed. I just want to have a family with you till death do us part.

Always yours,
Antonio de la Cruz"
AGUSTINA_LETTER_BTN,Read it in English,Leer en español
DLG_5_2_ANA_MARÍA,¡No puedo creerlo! ¿esta carta la escribió mi papá para Agustina la sirvienta?,"OMG this letter is from my dad to Agustina, Lupe's mom?!"
DLG_5_3_ANA_MARÍA,Y lo hizo el 12 de Diciembre de 1980…,"This says December 12, 1980"
DLG_5_4_ANA_MARÍA,¿El día en que murió escribió esto?,The day he died
DLG_5_5_ANA_MARÍA,¿Pero a qué hora si lo atropellaron después del almuerzo?,But he died after lunch... I remember
DLG_5_6_ANA_MARÍA,¿Y estaba enamorado de la mamá de Lupe?,Was he in love with Agustina?
DLG_5_8_ANA_MARÍA,Esto está raro... tengo que investigar,Something smells bad here.....Should be the parrot
---- EPISODIO 2 ----,---- ESCENA 1 ----,
EPISODE_2_INTRO,Varios días después,4 days later
DLG_3_3_ANA_MARÍA,"Hola Lupe, ¿Qué tranza? ¿qué haces?","Hey Lupe, what's up?"
DLG_3_4_ANA_MARÍA,Siempre te encuentro aquí con los caballos a solas,Alone with the horses again?
DLG_3_5_ANA_MARÍA,¿Te gustan mucho o qué?,Looks like you like them a lot
DLG_3_6_LUPE,...,...
DLG_3_7_ANA_MARÍA,Jijijiji. Nahhh te creas Lupe,Jijijiji. just kidding
DLG_3_8_ANA_MARÍA,Ya sé que lo que te gusta es Mamá Is,I know you like Mamá Is
