keys,es,en
DLG_1_5_ANA_MARÍA,Mamá Is debe tener uno por aquí,Mamá Is debe tener uno por aquí
DLG_1_7_ANA_MARÍA,¡Necesito un abrecartas!,¡Necesito un abrecartas!
DLG_2_2_ANA_MARÍA,¡Quemamais! ponte a buscar un abrecartas,¡Quemamais! ponte a buscar un abrecartas
DLG_2_3_ANA_MARÍA,Si me ayudas luego te daré una galletita,Si me ayudas luego te daré una galletita
DLG_3_3_ANA_MARÍA,"Hola Lupe, ¿Qué tranza? ¿qué haces?","Hola Lupe, ¿Qué tranza? ¿qué haces?"
DLG_3_4_ANA_MARÍA,Siempre te encuentro aquí con los caballos a solas,Siempre te encuentro aquí con los caballos a solas
DLG_3_5_ANA_MARÍA,¿Te gustan mucho o qué?,¿Te gustan mucho o qué?
DLG_3_6_LUPE,...,...
DLG_3_7_ANA_MARÍA,Jijijiji. Nahhh te creas Lupe,Jijijiji. Nahhh te creas Lupe
DLG_3_8_ANA_MARÍA,Ya sé que lo que te gusta es Mamá Is,Ya sé que lo que te gusta es Mamá Is
DLG_3_9_ANA_MARÍA,He visto las miradas que le echas,He visto las miradas que le echas
DLG_3_10_ANA_MARÍA,Pero tranquilo que tu secreto está seguro conmigo,Pero tranquilo que tu secreto está seguro conmigo
DLG_3_11_PLAYER_OPT_0,Pero tú estás más rica,Pero tú estás más rica
DLG_3_11_PLAYER_OPT_1,Me gustaría verte con ella,Me gustaría verte con ella
DLG_3_11_PLAYER_OPT_2,Uyuyuy... le gusta la señora,Uyuyuy... le gusta la señora
DLG_3_12_ANA_MARÍA,¿Khé?,¿Khé?
DLG_3_13_LUPE,Ehhhmmm... bueno,Ehhhmmm... bueno
DLG_3_14_ANA_MARÍA,"Maldito pájaro, ¡cállate!","Maldito pájaro, ¡cállate!"
DLG_3_15_LUPE,¿Necesita algo señorita?,¿Necesita algo señorita?
DLG_3_16_LUPE,¿Quiere que le prepare un caballo?,¿Quiere que le prepare un caballo?
DLG_3_17_ANA_MARÍA,"No gracias, ya no como carne","No gracias, ya no como carne"
DLG_3_18_ANA_MARÍA,"Quería preguntarte sobre Agustina, tu madre","Quería preguntarte sobre Agustina, tu madre"
DLG_3_19_ANA_MARÍA,¿Sabes si era amiga de mi padre?,¿Sabes si era amiga de mi padre?
DLG_3_20_LUPE,"Sólo sé lo que me han contado las otras sirvientas, patrona","Sólo sé lo que me han contado las otras sirvientas, patrona"
DLG_3_22_ANA_MARÍA,"Ven, cuéntame acá Lupe","Ven, cuéntame acá Lupe"
DLG_3_23_ANA_MARÍA,¿O qué? ¿te doy miedo? acércate...,¿O qué? ¿te doy miedo? acércate...
DLG_3_24_PLAYER_OPT_0,"Lo que usted quiera, ricura","Lo que usted quiera, ricura"
DLG_3_24_PLAYER_OPT_1,Te puedes sentar en mis piernas,Te puedes sentar en mis piernas
DLG_3_24_PLAYER_OPT_2,¡Vayan a motel! ¡vayan a motel!,¡Vayan a motel! ¡vayan a motel!
DLG_3_25_ANA_MARÍA,¿Qué dijites?,¿Qué dijites?
DLG_3_26_LUPE,"Bueno, pero sin meterme la mano al pantalón","Bueno, pero sin meterme la mano al pantalón"
DLG_3_27_LUPE,Pues no estaría nada mal...,Pues no estaría nada mal...
DLG_3_28_ANA_MARÍA,Sólo quiero que estemos cómodos mientras platicamos,Sólo quiero que estemos cómodos mientras platicamos
DLG_3_30_LUPE,Mi mamá empezó a trabajar en la Hacienda en 1976 cuando tenía 23 años,Mi mamá empezó a trabajar en la Hacienda en 1976 cuando tenía 23 años
